"Boron and Mg/Ca Calibration details for Brabson et al., 2016 in prep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species                                         (300-425 mm),Label for Boron,Sample ID,Site,Core Details,Age (Mya),Latitude,Longitude,water depth (m),,       d11B       (TPB corrected),2SD on d11B,A,1SD on A,B,1SD on B,Reference,   d11B_borate       (Species Corrected),2SD on d11B,pH,2SD error on pH,,Mg24/Ca,A,1SD on A,B,1SD on B,Reference,TEMP_C (Mg/Ca),1SD on Temp
Trilobatus trilobus,B1,12LB,292,"31-292-4R-2W, 20-21cm",3.2,15.86,124.65,2940,,19.07,0.20,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",18.45,0.20,8.07,0.04,,3.43,0.090,0.000,0.347,0.011,"Anand et al., 2003",25.46,0.04
Globorotalia tumida,B2,12LB,292,"31-292-4R-2W, 20-21cm",3.2,15.86,124.65,2940,,16.47,0.08,0.57,1.2,6.33,2.52,"Guillermic et al., 2020",17.79,0.08,8.07,0.02,,2.34,0.090,0.000,0.380,0.000,"Anand et al., 2003",20.20,0.00
Sphaeroidinella dehiscens,B3,12LB,292,"31-292-4R-2W, 20-21cm",3.2,15.86,124.65,2940,,18.49,0.24,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",19.27,0.24,8.23,0.04,,1.90,0.090,0.000,0.380,0.000,"Anand et al., 2003 (multi-species)",17.88,0.00
Globorotalia menardii,B4,12LB,292,"31-292-4R-2W, 20-21cm",3.2,15.86,124.65,2940,,16.69,0.19,0.65,0.76,5.36,1.36,"Guillermic et al., 2020",17.43,0.19,8.01,0.04,,2.74,0.091,0.000,0.360,0.000,"Regenberg et al., 2009",22.30,0.00
Globorotalia crassaformis,B5,12LB,292,"31-292-4R-2W, 20-21cm",3.2,15.86,124.65,2940,,14.53,0.16,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",15.11,0.16,7.76,0.05,,1.90,0.090,0.000,0.339,0.029,"Anand et al., 2003",19.15,0.11
Neogloboquadrina dutertrei,B6,14LB,1210A,"198-1210A-1H-1W, 0-4cm",top,32.22,158.25,2573,,16.01,0.23,0.72,0.74,3.88,0.65,"Guillermic et al., 2020; Foster et al., 2008",16.85,0.23,8.05,0.05,,1.24,0.090,0.000,0.342,0.012,"Anand et al., 2003",14.31,0.05
Globorotalia crassaformis,B7,14LB,1210A,"198-1210A-1H-1W, 0-4cm",top,32.22,158.25,2573,,16.29,0.28,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",16.96,0.28,8.07,0.06,,1.13,0.090,0.000,0.339,0.029,"Anand et al., 2003",13.38,0.11
Globorotalia truncatulinioides,B8,14LB,1210A,"198-1210A-1H-1W, 0-4cm",top,32.22,158.25,2573,,15.91,0.05,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",16.56,0.05,8.03,0.01,,1.16,0.090,0.000,0.359,0.008,"Anand et al., 2003",13.03,0.03
Uvigerina peregrina,B9,14LB,1210A,"198-1210A-1H-1W, 0-4cm",top,32.22,158.25,2573,,13.06,0.25,1,0,0,0,"Rae et al., 2011 (no calibration necessary)",13.06,0.25,7.43,0.19,,1.09,0.061,0.000,0.924,0.000,"Lear et al., 2002",2.71,0.00
Globorotalia crassaformis,B10,16LB,1210A,"198-1210A-6H-6W, 120-121cm",3.2,32.22,158.25,2573,,14.76,0.19,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",15.35,0.19,7.89,0.06,,0.99,0.090,0.000,0.339,0.029,"Anand et al., 2003",11.91,0.11
Planulina wuellerstorfi,B11,16LB,1210A,"198-1210A-6H-6W, 120-121cm",3.2,32.22,158.25,2573,,13.63,0.21,1,0,0,0,"Rae et al., 2011 (no calibration necessary)",13.63,0.21,7.65,0.12,,1.17,0.109,0.007,0.867,0.049,"Lear et al., 2002",2.75,0.43
Trilobatus sacculifer,B12,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,19.20,0.23,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",18.61,0.23,8.07,0.04,,3.84,0.090,0.000,0.347,0.011,"Anand et al., 2003",26.71,0.04
Globigerinoides ruber,B13,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,20.12,0.16,0.60,0.11,9.52,2.02,"Henehan et al., 2013",17.67,0.16,7.98,0.03,,4.96,0.085,0.006,0.480,0.070,"Anand et al., 2003",27.47,1.98
Trilobatus trilobus,B14,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,19.78,0.11,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",19.32,0.11,8.13,0.02,,3.91,0.090,0.000,0.347,0.011,"Anand et al., 2003",26.91,0.04
Globorotalia tumida,B15,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,16.37,0.18,0.57,1.2,6.33,2.52,"Guillermic et al., 2020",17.61,0.18,8.05,0.04,,2.37,0.090,0.000,0.380,0.000,"Anand et al., 2003",20.34,0.00
Globorotalia ungulata,B16,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,16.05,0.14,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",16.71,0.14,8.02,0.03,,2.97,0.083,0.000,0.840,0.000,"Anand et al., 2003 (deep dweller)",15.22,0.00
Globigerinella siphonifera,B17,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,17.09,0.20,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",17.80,0.20,8.02,0.04,,3.52,0.090,0.000,0.380,0.000,"Anand et al., 2003 (multi-species)",24.73,0.00
Pulleniatina obliquiloculata,B18,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,15.80,0.14,0.59,0.65,5.59,4.16,"Guillermic et al., 2020; Henehan et al., 2016",17.31,0.14,8.00,0.03,,2.48,0.090,0.000,0.328,0.007,"Anand et al., 2003",22.48,0.03
Orbulina universa,B19,6LB,U1482A,"363-U1482A-1H-1W, 2-3cm",top,-15.12,120.35,1468,,17.38,0.24,0.95,0.16,-0.42,2.85,"Henehan et al., 2016",18.74,0.24,8.06,0.04,,8.23,0.090,0.000,0.595,0.042,"Anand et al., 2003",29.19,0.28
Trilobatus sacculifer,B20,8LB,U1482A,"363-U1482A-16H-2W, 110-111cm",3.2,-15.12,120.35,1468,,19.18,0.15,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",18.59,0.15,8.06,0.03,,4.14,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.55,0.04
Globigerinoides ruber,B21,8LB,U1482A,"363-U1482A-16H-2W, 110-111cm",3.2,-15.12,120.35,1468,,20.12,0.28,0.60,0.11,9.52,2.02,"Henehan et al., 2013",17.67,0.28,7.97,0.05,,5.25,0.085,0.006,0.480,0.070,"Anand et al., 2003",28.14,2.03
Trilobatus trilobus,B22,8LB,U1482A,"363-U1482A-16H-2W, 110-111cm",3.2,-15.12,120.35,1468,,19.42,0.27,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",18.88,0.27,8.08,0.05,,4.44,0.090,0.000,0.347,0.011,"Anand et al., 2003",28.32,0.04
Globorotalia menardii,B23,8LB,U1482A,"363-U1482A-16H-2W, 110-111cm",3.2,-15.12,120.35,1468,,17.52,0.30,0.65,0.76,5.36,1.36,"Guillermic et al., 2020",18.71,0.30,8.10,0.05,,3.56,0.091,0.000,0.360,0.000,"Regenberg et al., 2009",25.18,0.00
Globorotalia crassaformis,B25,8LB,U1482A,"363-U1482A-16H-2W, 110-111cm",3.2,-15.12,120.35,1468,,15.43,0.15,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",16.05,0.15,7.86,0.04,,2.57,0.090,0.000,0.339,0.029,"Anand et al., 2003",22.51,0.11
Orbulina universa,B26,8LB,U1482A,"363-U1482A-16H-2W, 110-111cm",3.2,-15.12,120.35,1468,,18.00,0.11,0.95,0.16,-0.42,2.85,"Henehan et al., 2016",19.39,0.11,8.15,0.02,,6.03,0.090,0.000,0.595,0.042,"Anand et al., 2003",25.73,0.28
Trilobatus sacculifer,B27,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,19.40,0.15,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",18.85,0.15,8.09,0.03,,4.06,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.33,0.04
Orbulina universa,B28,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,13.43,0.11,0.95,0.16,-0.42,2.85,"Henehan et al., 2016",14.58,0.11,7.57,0.04,,6.88,0.090,0.000,0.595,0.042,"Anand et al., 2003",27.20,0.28
Trilobatus trilobus,B29,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,19.76,0.08,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",19.29,0.08,8.12,0.01,,4.12,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.49,0.04
Globigerinella siphonifera,B30,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,18.23,0.09,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",19.00,0.09,8.13,0.02,,3.42,0.090,0.000,0.380,0.000,"Anand et al., 2003 (multi-species)",24.41,0.00
Globorotalia tumida,B31,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,17.12,0.13,0.57,1.2,6.33,2.52,"Guillermic et al., 2020",18.93,0.13,8.17,0.02,,2.36,0.090,0.000,0.380,0.000,"Anand et al., 2003",20.29,0.00
Globorotalia ungulata,B32,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,17.16,0.10,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",17.87,0.10,8.15,0.02,,2.84,0.083,0.000,0.840,0.000,"Anand et al., 2003 (deep dweller)",14.68,0.00
Pulleniatina obliquiloculata,B33,1LB,U1490C,"363-U1490C-1H-1W, 0-1cm",top,5.82,142.65,2341,,17.05,0.04,0.59,0.65,5.59,4.16,"Guillermic et al., 2020; Henehan et al., 2016",19.42,0.04,8.18,0.01,,2.66,0.090,0.000,0.328,0.007,"Anand et al., 2003",23.26,0.03
Trilobatus sacculifer,B34,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,18.76,0.17,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",18.07,0.17,8.02,0.03,,3.95,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.02,0.04
Globigerinoides ruber,B35,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,19.24,0.10,0.60,0.11,9.52,2.02,"Henehan et al., 2013",16.20,0.10,7.84,0.02,,4.23,0.085,0.006,0.480,0.070,"Anand et al., 2003",25.60,1.85
Trilobatus trilobus,B36,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,18.63,0.23,0.82,0.22,3.94,4.02,"Sanyal et al., 2000 refit by Martinez-Boti et al., 2015",17.91,0.23,8.00,0.04,,3.98,0.090,0.000,0.347,0.011,"Anand et al., 2003",27.11,0.04
Globorotalia tumida,B37,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,16.03,0.12,0.57,1.2,6.33,2.52,"Guillermic et al., 2020",17.02,0.12,7.97,0.03,,2.83,0.090,0.000,0.380,0.000,"Anand et al., 2003",22.31,0.00
Globorotalia ungulata,B38,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,16.10,0.24,0.95,0.13,0.18,0.6,"""Deep Dwellers"" Guillermic et al., 2020; Foster et al., 2008; Henehan et al., 2016; Raitzsch et al., 2018",16.76,0.24,8.01,0.05,,3.42,0.083,0.000,0.840,0.000,"Anand et al., 2003 (deep dweller)",16.92,0.00
Pulleniatina obliquiloculata,B39,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,16.04,0.26,0.59,0.65,5.59,4.16,"Guillermic et al., 2020; Henehan et al., 2016",17.71,0.26,8.02,0.05,,2.96,0.090,0.000,0.328,0.007,"Anand et al., 2003",24.44,0.03
Orbulina universa,B40,4LB,U1490C,"363-U1490C-6H-3W, 23-24 cm",3.2,5.82,142.65,2341,,17.06,0.17,0.95,0.16,-0.42,2.85,"Henehan et al., 2016",18.40,0.17,8.10,0.03,,4.51,0.090,0.000,0.595,0.042,"Anand et al., 2003",22.51,0.28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,